Bus, Main, Main, Main, Main, Main, Main, Main
Node, Main_Module, Main_Module, OrionBMS, Dashboard, Dashboard, torque_vector, torque_vector
Message, rear_wheel_speeds, rear_wheel_speeds, orion_currents_volts, filt_throttle_brake, dashboard_tv_parameters, throttle_vcu, throttle_vcu
Signal, left_speed_sensor, right_speed_sensor, pack_voltage, throttle, tv_enabled, vcu_k_rl, vcu_k_rr
4.905,0,0,285.8,6.81318,1,30,30
4.92,0,0,285.8,6.73992,1,27,27
4.935,0,0,285.8,6.30036,1,25,25
4.95,0,0,285.8,6.5934,1,25,25
4.965,0,0,285.8,6.52014,1,26,26
4.98,0,0,285.8,6.37362,1,26,26
4.995,0,0,285.8,6.37362,1,25,25
5.01,0,0,285.8,6.52014,1,25,25
5.025,0,0,285.8,7.49694,1,26,26
5.04,0,0,285.8,6.9597,1,30,30
5.055,0,0,285.8,6.73992,1,27,27
5.07,0,0,285.8,8.00976,1,27,27
5.085,0,0,285.8,6.5934,1,32,32
5.1,0,0,285.8,6.37362,1,26,26
5.115,0,0,285.8,6.73992,1,26,26
5.13,0,0,285.8,8.10744,1,27,27
5.145,0,0,285.8,8.10744,1,32,32
5.16,0,0,285.8,6.9597,1,28,28
5.175,0,0,285.8,7.13064,1,28,28
5.19,0,0,285.8,7.5702,1,28,28
5.205,0,0,285.8,6.81318,1,27,27
5.22,0,0,285.8,7.5702,1,27,27
5.235,0,0,285.8,7.9365,1,27,27
5.25,0,0,285.8,8.76678,1,27,27
5.265,0,0,285.8,7.9365,1,27,27
5.28,0,0,285.8,6.9597,1,27,27
5.295,0,0,285.8,7.5702,1,27,27
5.31,0,0,285.8,7.5702,1,27,27
5.325,0,0,285.8,8.547,1,27,27
5.34,0,0,285.8,8.84004,1,27,27
5.355,0,0,285.8,7.27716,1,27,27
5.37,0,0,285.8,7.71672,1,27,27
5.385,0,0,285.8,7.49694,1,27,27
5.4,0,0,285.8,7.49694,1,27,27
5.415,0,0,285.8,7.2039,1,27,27
5.43,0,0,285.8,7.5702,1,27,27
5.445,0,0,285.8,8.547,1,27,27
5.46,0,0,285.8,7.2039,1,27,27
5.475,0,0,285.8,7.2039,1,27,27
5.49,0,0,285.8,6.73992,1,27,27
5.505,0,0,285.8,6.9597,1,27,27
5.52,0,0,285.8,7.2039,1,27,27
5.535,0,0,285.8,6.81318,1,27,27
5.55,0,0,285.8,7.13064,1,27,27
5.565,0,0,285.8,6.9597,1,27,27
5.58,0,0,285.8,6.5934,1,27,27
5.595,0,0,285.8,6.5934,1,27,27
5.61,0,0,285.8,7.27716,1,27,27
5.625,0,0,285.8,6.73992,1,27,27
5.64,0,0,285.8,6.44688,1,27,27
5.655,0,0,285.8,6.44688,1,27,27
5.67,0,0,285.8,6.88644,1,27,27
5.685,0,0,285.8,6.37362,1,27,27
5.7,0,0,285.8,6.81318,1,27,27
5.715,0,0,285.8,8.32722,1,27,27
5.73,0,0,285.8,6.9597,1,27,27
5.745,0,0,285.8,7.27716,1,27,27
5.76,0,0,285.8,7.13064,1,27,27
5.775,0,0,285.8,7.49694,1,27,27
5.79,0,0,285.8,7.5702,1,27,27
5.805,0,0,285.8,7.27716,1,27,27
5.82,0,0,285.8,7.86324,1,27,27
5.835,0,0,285.8,7.5702,1,27,27
5.85,0,0,285.8,7.2039,1,27,27
5.865,0,0,285.8,7.13064,1,27,27
5.88,0,0,285.8,6.88644,1,27,27
5.895,0,0,285.8,6.9597,1,27,27
5.91,0,0,285.8,7.86324,1,27,27
5.925,0,0,285.8,7.86324,1,27,27
5.94,0,0,285.8,7.71672,1,27,27
5.955,0,0,285.8,7.2039,1,27,27
5.97,0,0,285.8,8.10744,1,27,27
5.985,0,0,285.8,6.5934,1,27,27
6,0,0,285.8,7.35042,1,27,27
6.015,0,0,285.8,7.13064,1,27,27
6.03,0,0,285.8,7.35042,1,27,27
6.045,0,0,285.8,7.2039,1,27,27
6.06,0,0,285.8,7.2039,1,27,27
6.075,0,0,285.8,7.2039,1,27,27
6.09,0,0,285.8,6.9597,1,27,27
6.105,0,0,285.8,8.10744,1,27,27
6.12,0,0,285.8,7.13064,1,27,27
6.135,0,0,285.8,7.64346,1,27,27
6.15,0,0,285.8,6.88644,1,27,27
6.165,0,0,285.8,7.35042,1,27,27
6.18,0,0,285.8,7.64346,1,27,27
6.195,0,0,285.8,7.64346,1,27,27
6.21,0,0,285.8,7.71672,1,27,27
6.225,0,0,285.8,7.86324,1,27,27
6.24,0,0,285.8,7.5702,1,27,27
6.255,0,0,285.8,8.10744,1,27,27
6.27,0,0,285.8,7.49694,1,27,27
6.285,0,0,285.8,8.47374,1,27,27
6.3,0,0,285.8,6.9597,1,27,27
6.315,0,0,285.8,7.2039,1,27,27
6.33,0,0,285.8,8.00976,1,27,27
6.345,0,0,285.8,7.49694,1,27,27
6.36,0,0,285.8,6.5934,1,27,27
6.375,0,0,285.8,8.10744,1,27,27
6.39,0,0,285.8,6.81318,1,27,27
6.405,0,0,285.8,8.32722,1,27,27
6.42,0,0,285.8,7.2039,1,27,27
6.435,0,0,285.8,6.9597,1,27,27
6.45,0,0,285.8,6.88644,1,27,27
6.465,0,0,285.8,6.88644,1,27,27
6.48,0,0,285.8,7.64346,1,27,27
6.495,0,0,285.8,8.47374,1,27,27
6.51,0,0,285.8,7.2039,1,27,27
6.525,0,0,285.8,7.13064,1,27,27
6.54,0,0,285.8,7.13064,1,27,27
6.555,0,0,285.8,8.10744,1,27,27
6.57,0,0,285.8,7.2039,1,27,27
6.585,0,0,285.8,7.5702,1,27,27
6.6,0,0,285.8,7.64346,1,27,27
6.615,0,0,285.8,7.27716,1,27,27
6.63,0,0,285.8,7.9365,1,27,27
6.645,0,0,285.8,7.27716,1,27,27
6.66,0,0,285.8,6.9597,1,27,27
6.675,0,0,285.8,7.86324,1,27,27
6.69,0,0,285.8,8.547,1,27,27
6.705,0,0,285.8,8.547,1,27,27
6.72,0,0,285.8,7.2039,1,27,27
6.735,0,0,285.8,7.2039,1,27,27
6.75,0,0,285.8,7.13064,1,27,27
6.765,0,0,285.8,6.9597,1,27,27
6.78,0,0,285.8,7.5702,1,27,27
6.795,0,0,285.8,7.2039,1,27,27
6.81,0,0,285.8,8.32722,1,27,27
6.825,0,0,285.8,6.81318,1,27,27
6.84,0,0,285.8,6.73992,1,27,27
6.855,0,0,285.8,7.64346,1,27,27
