Bus, Main, Main, Main, Main
Node, torque_vector, torque_vector, torque_vector, torque_vector
Message, vehHead, sfs_ang_vel, sfs_ang_vel, sfs_ang_vel
Signal, vehHead, sfs_ang_vel_x, sfs_ang_vel_y, sfs_ang_vel_z
89.97,0,-0.012,0.0099,0.0044
89.985,0,-0.0328,-0.0098,-0.0619
90,0,-0.0328,-0.0098,-0.0619
90.015,0,-0.0249,0.0389,-0.0323
90.03,0,-0.0249,0.0389,-0.0323
90.045,0,-0.0167,0.1433,-0.031
90.06,0,-0.0007,0.1059,-0.0085
90.075,78,0.0033,0.0463,0.0294
90.09,78,-0.0054,0.0056,0.037
90.105,78,-0.0054,0.0056,0.037
90.12,81.2,-0.0144,0.0298,0.0341
90.135,81.2,-0.0097,0.0536,0.0339
90.15,81.2,-0.015,-0.0227,-0.0405
90.165,79.7,-0.015,-0.0227,-0.0405
90.18,79.7,-0.015,-0.0227,-0.0405
90.195,82.4,-0.0126,-0.0273,-0.0831
90.21,82.4,0.0013,-0.0209,0.0114
90.225,82.4,0.0037,-0.0496,0.0057
90.24,85.5,0.0037,-0.0496,0.0057
90.255,85.5,0.0058,-0.0332,0.0184
90.27,86.5,-0.0253,0.0629,0.0085
90.285,86.5,-0.024,0.0539,0.0018
90.3,86.5,-0.0236,0.0258,-0.0062
90.315,87.5,-0.0236,0.0258,-0.0062
90.33,87.5,-0.0079,-0.0156,0.002
90.345,87.5,-0.0003,-0.0362,0.0203
90.36,87.8,-0.0003,-0.0362,0.0203
90.375,87.8,0.0057,-0.0289,0.0141
90.39,87.8,0.0057,-0.0289,0.0141
90.405,87.4,0.0086,-0.0352,-0.0008
90.42,87.4,-0.0056,0.0007,-0.0039
90.435,86.9,0.0166,0.043,0.0148
90.45,86.9,0.0166,0.043,0.0148
90.465,86.9,0.0141,0.0079,0.0051
90.48,85.6,0.0075,-0.004,0.0253
90.495,85.6,0.0053,-0.0623,-0.0019
90.51,85.6,-0.0071,-0.0734,-0.0134
90.525,85.1,-0.0071,-0.0734,-0.0134
90.54,85.1,-0.0071,-0.0734,-0.0134
90.555,85.9,-0.0051,-0.0268,-0.008
90.57,85.9,0.0082,-0.0176,0.0082
90.585,85.9,0.0035,-0.0036,0.0217
90.6,86.4,0.0035,-0.0036,0.0217
90.615,86.4,-0.0268,-0.0173,0.019
90.63,86.4,-0.0077,-0.0704,0.0283
90.645,86.8,0.0953,-0.0699,0.0345
90.66,86.8,0.0953,-0.0699,0.0345
90.675,87.6,0.1143,-0.0586,0.0464
90.69,87.6,0.006,-0.0369,0.0481
90.705,87.6,-0.0377,0.0173,0.0333
90.72,87.1,-0.0377,0.0173,0.0333
90.735,87.1,-0.0059,0.0436,0.0413
90.75,87.1,-0.0059,0.0436,0.0413
90.765,85.7,-0.0182,0.0572,0.0388
90.78,85.7,-0.0211,0.0612,0.0398
90.795,85.6,-0.0531,0.0737,0.0605
90.81,85.6,-0.0531,0.0737,0.0605
90.825,85.6,-0.049,0.062,0.0604
90.84,86.6,0.0153,0.0241,0.0611
90.855,86.6,-0.0184,0.016,0.0523
90.87,86.6,-0.0184,0.016,0.0523
90.885,87.2,-0.0567,0.0161,0.0605
90.9,87.2,-0.0567,0.0161,0.0605
90.915,87.2,-0.0536,0.022,0.0569
90.93,87.1,-0.0233,0.0432,0.0438
90.945,87.1,-0.0002,0.0459,0.05
90.96,86.9,-0.0002,0.0459,0.05
90.975,86.9,-0.0029,0.0449,0.0506
90.99,86.9,0.0001,0.0275,0.0544
91.005,86.5,-0.0098,0.0073,0.0687
91.02,86.5,-0.0098,0.0073,0.0687
91.035,86.5,0.0238,-0.0102,0.0595
91.05,86.4,0.047,-0.0342,0.0589
91.065,86.4,0.047,-0.0342,0.0589
91.08,85.7,0.0195,-0.0283,0.0641
91.095,85.7,0.0195,-0.0283,0.0641
91.11,85.7,0.0055,-0.0174,0.0617
91.125,85.5,0.0049,0.0118,0.0606
91.14,85.5,0.042,0.0779,0.0608
91.155,85.5,0.2604,0.046,0.0746
91.17,85.2,0.2604,0.046,0.0746
91.185,85.2,-0.0022,0.0591,0.0615
91.2,85.2,-0.059,-0.0549,0.079
91.215,85.2,-0.0028,-0.098,0.053
91.23,85.2,-0.0028,-0.098,0.053
91.245,84.2,-0.0844,-0.0845,0.0536
91.26,84.2,-0.0844,-0.0845,0.0536
91.275,84.2,-0.0702,-0.0887,0.0574
91.29,84.9,0.0305,-0.0614,0.0691
91.305,84.9,0.0305,-0.0614,0.0691
91.32,85.4,-0.0596,-0.0233,0.066
91.335,85.4,-0.0535,0.0161,0.0734
91.35,85.4,0.0472,0.0349,0.0851
91.365,86.3,-0.0538,0.0145,0.0721
91.38,86.3,-0.0538,0.0145,0.0721
91.395,86.3,-0.0605,0.0004,0.0663
91.41,85.9,0.0039,-0.0246,0.0733
91.425,85.9,0.0039,-0.0246,0.0733
91.44,85,-0.0308,-0.0105,0.0751
91.455,85,-0.0308,-0.0105,0.0751
91.47,85,-0.0354,-0.0209,0.0803
91.485,84.6,0.0215,-0.0195,0.0864
91.5,84.6,-0.0493,0.0155,0.0867
91.515,84.6,-0.0493,0.0155,0.0867
91.53,84.6,-0.0647,0.0601,0.0836
91.545,84.6,0.0017,0.0338,0.0826
91.56,84.8,0.0365,0.0506,0.0937
91.575,84.8,0.0119,-0.0049,0.077
91.59,84.8,0.0119,-0.0049,0.077
