Left	3.179	67.417
Left	3.294	59.446
Left	3.411	42.688
Left	3.513	35.390
Left	3.490	34.655
Left	3.379	26.854
Left	3.316	33.343
Left	3.365	26.813
Left	3.435	28.490
Left	3.495	62.271
Right	3.377	174.408
Left	3.184	286.141
Left	3.015	25.086
Left	2.861	18.893
Left	2.789	17.619
Left	2.786	19.112
Left	2.828	20.818
Left	2.888	24.291
Left	2.961	24.013
Left	3.045	24.485
Left	3.093	79.768
Right	3.164	118.499
Right	3.303	47.655
Right	3.433	38.971
Right	3.504	39.184
Right	3.581	31.173
Right	3.635	33.206
Right	3.677	35.951
Right	3.673	32.789
Right	3.625	29.952
Right	3.568	30.337
Right	3.514	37.150
Right	3.407	41.760
Right	3.202	40.893
Right	2.979	45.223
Right	2.735	47.335
Right	2.499	40.926
Right	2.258	35.298
Right	2.023	187.672
Left	1.844	14.517
Left	1.784	9.650
Left	1.722	8.778
Left	1.707	8.289
Left	1.718	8.019
Left	1.752	7.718
Left	1.810	8.524
Left	1.852	8.561
Left	1.737	7.233
Left	1.594	5.942
Left	1.518	5.672
Left	1.482	5.639
Left	1.543	7.405
Left	1.641	8.036
Left	1.742	15.051
Left	1.903	14.770
Left	2.088	19.054
Left	2.247	28.511
Left	2.359	27.224
Left	2.496	61.782
Right	2.610	108.705
Right	2.761	68.214
Right	2.884	76.321
Right	2.997	99.867
Right	3.087	194.229
Left	3.167	245.400
Left	3.303	57.187
Left	3.422	63.186
Left	3.488	446.336
Left	3.584	261.847
Straight	3.666	0.000
Right	3.745	116.967
Right	3.685	69.201
Right	3.434	47.549
Right	3.111	45.524
Right	2.825	25.926
Right	2.656	17.738
Right	2.556	13.853
Right	2.453	14.817
Right	2.376	13.997
Right	2.375	14.892
Right	2.405	14.943
Right	2.440	16.549
Right	2.481	16.020
Right	2.448	16.172
Right	2.403	19.808
Right	2.481	20.161
Right	2.606	20.099
Right	2.739	25.970
Right	2.871	20.305
Right	2.893	21.323
Right	2.765	17.001
Right	2.612	17.878
Right	2.516	16.356
Right	2.406	17.265
Right	2.406	14.545
Right	2.463	14.089
Right	2.517	15.191
Right	2.575	18.024
Right	2.653	24.371
Right	2.770	47.721
Right	2.894	64.051
Right	3.013	195.962
Left	3.127	49.165
Left	3.232	31.688
Left	3.344	31.802
Left	3.435	28.862
Left	3.506	28.732
Left	3.575	31.486
Left	3.638	33.728
Left	3.679	31.843
Left	3.720	31.549
Left	3.701	29.742
Left	3.572	28.203
Left	3.417	25.807
Left	3.301	22.597
Left	3.213	24.448
Left	3.255	25.086
Left	3.319	27.138
Left	3.357	27.387
Left	3.377	38.402
Left	3.430	83.031
Right	3.311	60.049
Right	3.181	27.312
Right	3.160	23.486
Right	3.182	21.728
Right	3.208	28.835
Right	3.263	36.167
Right	3.344	70.751
Left	3.410	609.665
Left	3.539	48.378
Left	3.634	43.666
Left	3.706	43.461
Left	3.714	58.180
Left	3.531	62.694
Left	3.278	41.502
Left	3.107	25.670
Left	3.006	22.412
Left	2.938	21.689
Left	2.853	22.130
Left	2.780	20.405
Left	2.817	22.745
Left	2.873	35.214
Left	2.892	105.811
Right	2.992	410.681
Right	3.095	33.161
Right	3.159	41.610
Left	2.906	281.733
Left	2.678	97.458
Left	2.513	24.131
Left	2.432	13.737
Left	2.415	17.983
Left	2.394	20.611
Left	2.512	17.677
Left	2.614	22.196
Left	2.685	25.932
Left	2.766	49.264
Right	2.928	76.747
Right	3.027	28.018
Right	3.080	31.075
Right	2.913	33.137
Right	2.612	52.143
Left	2.296	87.921
Left	2.147	15.375
Left	2.075	12.635
Left	2.058	12.844
Left	2.096	12.793
Left	2.098	12.427
Left	2.084	12.652
Left	2.129	16.629
Right	2.145	48.258
Right	2.249	14.063
Right	2.340	13.580
Right	2.419	15.128
Right	2.513	22.491
Left	2.601	225.682
Left	2.756	23.220
Left	2.818	18.323
Left	2.760	17.802
Left	2.669	26.132
Right	2.602	108.050
Right	2.686	22.818
Right	2.801	20.281
Right	2.909	21.866
Right	2.982	27.193
Right	3.043	339.823
Left	3.113	136.816
Straight	3.208	0.000
Right	3.328	239.119
Right	3.444	229.026
Right	3.546	384.594
Left	3.634	1615.226
Left	3.724	169.606
Left	3.798	85.386
Left	3.899	132.833
Left	3.981	252.809
Left	4.056	548.959
Right	4.150	300.961
Right	4.217	197.767
Right	4.268	163.046
Right	4.285	232.317
Right	4.033	397.897
Right	3.713	133.135
Right	3.388	123.923
Right	3.149	75.816
Right	2.804	961.560
Left	2.538	118.188
Left	2.276	146.220
Left	2.060	27.814
Left	1.888	13.776
Left	1.767	9.550
Left	1.709	7.709
Left	1.644	7.244
Left	1.576	6.853
Left	1.518	6.552
Left	1.508	7.319
Left	1.580	8.329
Left	1.569	6.499
Left	1.521	8.574
Left	1.508	8.185
Left	1.584	12.792
Left	1.641	13.914
Left	1.735	11.391
Left	1.921	11.195
Left	2.118	33.598
Left	2.223	259.103
Left	2.391	61.691
Left	2.552	85.378
Left	2.702	669.955
Straight	2.829	0.000
Left	2.960	803.917
Right	3.056	72.898
Right	3.195	42.579
Right	3.316	44.841
Right	3.403	35.707
Right	3.453	27.351
Right	3.379	23.668
Right	3.300	24.368
Right	3.284	37.342
Right	3.336	194.435
Left	3.424	52.455
Left	3.526	36.498
Left	3.625	27.098
Left	3.667	32.037
Left	3.690	37.575
Left	3.752	37.441
Left	3.807	41.878
Left	3.822	49.641
Left	3.889	56.073
Left	3.961	61.240
Left	4.017	72.219
Left	4.067	83.136
Left	4.140	136.722
Straight	4.196	0.000
Right	4.251	179.225
Right	4.131	178.929
Right	3.812	296.261
Right	3.433	393.148
Right	3.109	93.361
Right	2.803	38.450
Right	2.587	21.544
Right	2.390	15.193
Right	2.210	11.789
Right	2.089	9.531
Right	1.969	9.944
Right	1.901	9.755
Right	1.944	9.375
Right	2.012	10.531
Right	2.080	11.756
Right	2.135	13.827
Right	2.187	14.506
Right	2.234	12.629
Right	2.243	11.760
Right	2.288	15.870
Right	2.387	16.993
Right	2.442	39.793
Right	2.586	87.622
Right	2.742	98.516
Right	2.892	36.542
Right	2.989	23.258
Right	2.974	20.544
Right	2.916	18.250
Right	2.857	20.245
Right	2.886	21.991
Straight	2.918	0.000
Left	2.984	36.710
Left	2.943	22.377
Left	2.829	18.709
Left	2.719	17.617
Left	2.645	17.959
Left	2.673	19.418
Left	2.773	31.357
Left	2.888	95.615
Right	3.023	111.797
Right	3.137	31.669
Right	3.078	23.655
Right	2.880	18.561
Right	2.725	15.751
Right	2.602	16.792
Right	2.476	14.613
Right	2.364	18.813
Right	2.331	20.989
Right	2.406	28.719
Right	2.594	274.265
Left	2.742	26.271
Left	2.822	25.408
Left	2.866	27.914
Left	2.975	30.631
Left	3.088	27.994
Left	3.181	27.712
Left	3.262	51.366
Left	3.355	187.767
Left	3.468	152.157
Left	3.582	204.712
Left	3.674	380.957
Straight	3.757	0.000
Right	3.835	134.942
Right	3.835	154.182
Right	3.567	145.922
Right	3.219	345.583
Right	2.903	386.643
Right	2.583	87.465
Right	2.346	63.132
Left	2.052	110.406
Left	1.806	11.845
Left	1.739	8.669
Left	1.712	8.206
Left	1.668	6.990
